Elevation	Pattern		
Deg	V dB		
			
0	1.76	101.75	1
1	1.76	101.75	1
2	1.76	101.75	1
3	1.75	101.74	0.99990172
4	1.74	101.73	0.99980344
5	1.73	101.72	0.99970516
6	1.72	101.71	0.99960688
7	1.7	101.69	0.999410319
8	1.68	101.67	0.999213759
9	1.65	101.64	0.998918919
10	1.62	101.61	0.998624079
11	1.59	101.58	0.998329238
12	1.56	101.55	0.998034398
13	1.52	101.51	0.997641278
14	1.48	101.47	0.997248157
15	1.44	101.43	0.996855037
16	1.39	101.38	0.996363636
17	1.34	101.33	0.995872236
18	1.29	101.28	0.995380835
19	1.23	101.22	0.994791155
20	1.18	101.17	0.994299754
21	1.11	101.1	0.993611794
22	1.05	101.04	0.993022113
23	0.98	100.97	0.992334152
24	0.91	100.9	0.991646192
25	0.83	100.82	0.990859951
26	0.75	100.74	0.99007371
27	0.67	100.66	0.989287469
28	0.58	100.57	0.988402948
29	0.49	100.48	0.987518428
30	0.4	100.39	0.986633907
31	0.3	100.29	0.985651106
32	0.2	100.19	0.984668305
33	0.1	100.09	0.983685504
34	-0.01	99.98	0.982604423
35	-0.12	99.87	0.981523342
36	-0.24	99.75	0.98034398
37	-0.36	99.63	0.979164619
38	-0.49	99.5	0.977886978
39	-0.62	99.37	0.976609337
40	-0.75	99.24	0.975331695
41	-0.89	99.1	0.973955774
42	-1.03	98.96	0.972579853
43	-1.18	98.81	0.971105651
44	-1.33	98.66	0.96963145
45	-1.49	98.5	0.968058968
46	-1.66	98.33	0.966388206
47	-1.82	98.17	0.964815725
48	-2	97.99	0.963046683
49	-2.18	97.81	0.961277641
50	-2.37	97.62	0.959410319
51	-2.56	97.43	0.957542998
52	-2.76	97.23	0.955577396
53	-2.97	97.02	0.953513514
54	-3.18	96.81	0.951449631
55	-3.4	96.59	0.949287469
56	-3.63	96.36	0.947027027
57	-3.87	96.12	0.944668305
58	-4.11	95.88	0.942309582
59	-4.37	95.62	0.9397543
60	-4.64	95.35	0.937100737
61	-4.91	95.08	0.934447174
62	-5.2	94.79	0.931597052
63	-5.5	94.49	0.928648649
64	-5.81	94.18	0.925601966
65	-6.14	93.85	0.922358722
66	-6.48	93.51	0.919017199
67	-6.83	93.16	0.915577396
68	-7.2	92.79	0.911941032
69	-7.59	92.4	0.908108108
70	-8.01	91.98	0.903980344
71	-8.44	91.55	0.8997543
72	-8.9	91.09	0.895233415
73	-9.39	90.6	0.89041769
74	-9.9	90.09	0.885405405
75	-10.45	89.54	0.88
76	-11.05	88.94	0.874103194
77	-11.68	88.31	0.867911548
78	-12.37	87.62	0.861130221
79	-13.12	86.87	0.853759214
80	-13.94	86.05	0.845700246
81	-14.85	85.14	0.836756757
82	-15.87	84.12	0.826732187
83	-17.03	82.96	0.815331695
84	-18.36	81.63	0.802260442
85	-19.94	80.05	0.786732187
86	-21.88	78.11	0.767665848
87	-24.37	75.62	0.743194103
88	-27.89	72.1	0.708599509
89	-33.91	66.08	0.649434889
90	-99.99	0	0
91	-33.91	66.08	0.649434889
92	-27.89	72.1	0.708599509
93	-24.37	75.62	0.743194103
94	-21.88	78.11	0.767665848
95	-19.94	80.05	0.786732187
96	-18.36	81.63	0.802260442
97	-17.03	82.96	0.815331695
98	-15.87	84.12	0.826732187
99	-14.85	85.14	0.836756757
100	-13.94	86.05	0.845700246
101	-13.12	86.87	0.853759214
102	-12.37	87.62	0.861130221
103	-11.68	88.31	0.867911548
104	-11.05	88.94	0.874103194
105	-10.45	89.54	0.88
106	-9.9	90.09	0.885405405
107	-9.39	90.6	0.89041769
108	-8.9	91.09	0.895233415
109	-8.44	91.55	0.8997543
110	-8.01	91.98	0.903980344
111	-7.59	92.4	0.908108108
112	-7.2	92.79	0.911941032
113	-6.83	93.16	0.915577396
114	-6.48	93.51	0.919017199
115	-6.14	93.85	0.922358722
116	-5.81	94.18	0.925601966
117	-5.5	94.49	0.928648649
118	-5.2	94.79	0.931597052
119	-4.91	95.08	0.934447174
120	-4.64	95.35	0.937100737
121	-4.37	95.62	0.9397543
122	-4.11	95.88	0.942309582
123	-3.87	96.12	0.944668305
124	-3.63	96.36	0.947027027
125	-3.4	96.59	0.949287469
126	-3.18	96.81	0.951449631
127	-2.97	97.02	0.953513514
128	-2.76	97.23	0.955577396
129	-2.56	97.43	0.957542998
130	-2.37	97.62	0.959410319
131	-2.18	97.81	0.961277641
132	-2	97.99	0.963046683
133	-1.82	98.17	0.964815725
134	-1.66	98.33	0.966388206
135	-1.49	98.5	0.968058968
136	-1.33	98.66	0.96963145
137	-1.18	98.81	0.971105651
138	-1.03	98.96	0.972579853
139	-0.89	99.1	0.973955774
